Tags,Ticket,Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,72232553,19/06/2018 14:12,02/01/2019 09:05,GOLD,Buy,0.05,0.00000,1285.00000,1276.97000,1285.00000,0.0000,-100.8800,803.0,-69.40,-0.01,"[tp]",0,196:18:52:04,,,,,,,,,,,,
,76880016,26/12/2018 18:27,26/12/2018 22:17,AUDCHF,Buy,0.03,0.00000,0.70300,0.70012,0.70300,0.0000,0.0000,28.8,6.87,0.00,"[tp]",0,00:03:50:36,100.0,3h 50m,19.0,0.02,40.6,9.744,0.0,0.0,100.0,70.9,-11.80,-2.83
,76880015,26/12/2018 18:27,26/12/2018 20:02,AUDCHF,Buy,0.03,0.00000,0.70127,0.70013,0.70127,0.0000,0.0000,11.4,2.72,0.00,"[tp]",0,00:01:34:51,1.1,1m,0.0,0.09,11.4,2.7359999999999998,0.0,0.0,100.0,100.0,0.00,0.00
,75537923,17/07/2018 17:34,26/12/2018 18:25,GOLD,Buy,0.17,0.00000,0.00000,1229.41000,1277.84000,0.0000,-278.2700,4843.0,371.92,0.06,"from #73286610",0,162:00:51:21,,,,,,,,,,,,
,73318417,18/07/2018 11:17,26/12/2018 18:25,GOLD,Buy,0.09,0.00000,0.00000,1222.43000,1277.92000,0.0000,-146.3500,5549.0,247.97,0.04,"to #76879949",0,161:07:08:21,,,,,,,,,,,,
,72618372,02/07/2018 20:24,26/12/2018 18:25,GOLD,Buy,0.10,0.00000,0.00000,1241.14000,1278.00000,0.0000,-179.4200,3686.0,111.58,0.02,"",0,176:22:01:02,,,,,,,,,,,,
,76242727,18/09/2018 12:27,06/12/2018 15:18,AUDCHF,Buy,0.04,0.00000,0.00000,0.69313,0.71757,0.0000,6.0800,244.4,83.01,0.01,"from #76078630",0,79:02:51:04,0.3,5h 41m,0.0,0.00,244.4,75.764,0.0,0.0,100.0,100.0,0.00,0.00
,76078644,21/11/2018 08:54,03/12/2018 00:05,AUDCHF,Buy,0.05,0.00000,0.73500,0.71933,0.73500,0.0000,0.9800,156.7,62.58,0.01,"[tp]",0,11:15:10:05,100.0,11d 15h ,56.4,0.01,173.5,67.665,0.0,0.0,100.0,90.3,-16.80,-6.55
,76078630,18/09/2018 12:27,29/11/2018 17:02,AUDCHF,Buy,0.01,0.00000,0.00000,0.69313,0.72929,0.0000,1.4100,361.6,29.82,0.01,"from #74769574",0,72:04:35:00,0.3,5h 11m,0.0,0.00,361.6,28.928,0.0,0.0,100.0,100.0,0.00,0.00
,76078636,21/11/2018 08:54,29/11/2018 14:49,AUDCHF,Buy,0.05,0.00000,0.73000,0.71943,0.73000,0.0000,0.8200,105.7,42.43,0.01,"Sc",0,08:05:55:08,99.9,8d 5h ,56.4,0.00,105.7,41.223,-0.4,-0.15600000000000003,99.6,100.0,0.00,0.00
